split,index,image_id
train,0,ISIC_0027615
train,1,ISIC_0029876
train,2,ISIC_0031193
train,3,ISIC_0030743
train,4,ISIC_0026475
train,5,ISIC_0033832
train,6,ISIC_0033154
train,7,ISIC_0030163
train,8,ISIC_0030537
train,9,ISIC_0027252
train,10,ISIC_0034011
train,11,ISIC_0030430
train,12,ISIC_0032536
train,13,ISIC_0029723
train,14,ISIC_0034051
train,15,ISIC_0032783
train,16,ISIC_0033553
train,17,ISIC_0033145
train,18,ISIC_0027276
train,19,ISIC_0028424
train,20,ISIC_0028311
train,21,ISIC_0030945
train,22,ISIC_0024613
train,23,ISIC_0027937
train,24,ISIC_0033200
train,25,ISIC_0025655
train,26,ISIC_0025974
train,27,ISIC_0030404
train,28,ISIC_0028682
train,29,ISIC_0032519
train,30,ISIC_0028123
train,31,ISIC_0026746
train,32,ISIC_0033537
train,33,ISIC_0029847
train,34,ISIC_0029262
train,35,ISIC_0028410
train,36,ISIC_0030362
train,37,ISIC_0029081
train,38,ISIC_0031883
train,39,ISIC_0033424
train,40,ISIC_0033396
train,41,ISIC_0031658
train,42,ISIC_0027792
train,43,ISIC_0027367
train,44,ISIC_0027770
train,45,ISIC_0027497
train,46,ISIC_0030401
train,47,ISIC_0029227
train,48,ISIC_0027785
train,49,ISIC_0027210
train,50,ISIC_0032836
train,51,ISIC_0027421
train,52,ISIC_0032485
train,53,ISIC_0031822
train,54,ISIC_0025308
train,55,ISIC_0030607
train,56,ISIC_0032399
train,57,ISIC_0032070
train,58,ISIC_0032793
train,59,ISIC_0033712
train,60,ISIC_0025268
train,61,ISIC_0030121
train,62,ISIC_0025679
train,63,ISIC_0031513
train,64,ISIC_0029713
train,65,ISIC_0028987
train,66,ISIC_0028063
train,67,ISIC_0028735
train,68,ISIC_0027452
train,69,ISIC_0024339
train,70,ISIC_0025229
train,71,ISIC_0026046
train,72,ISIC_0031431
train,73,ISIC_0028819
train,74,ISIC_0028390
train,75,ISIC_0032492
train,76,ISIC_0033039
train,77,ISIC_0026885
train,78,ISIC_0026601
train,79,ISIC_0032221
train,80,ISIC_0031478
train,81,ISIC_0032930
train,82,ISIC_0024892
train,83,ISIC_0028637
train,84,ISIC_0026405
train,85,ISIC_0028452
train,86,ISIC_0024864
train,87,ISIC_0031633
train,88,ISIC_0029664
train,89,ISIC_0029032
train,90,ISIC_0033947
train,91,ISIC_0029610
train,92,ISIC_0026812
train,93,ISIC_0026643
train,94,ISIC_0029509
train,95,ISIC_0033239
train,96,ISIC_0028569
train,97,ISIC_0027558
train,98,ISIC_0029099
train,99,ISIC_0025282
train,100,ISIC_0031556
train,101,ISIC_0028868
train,102,ISIC_0033448
train,103,ISIC_0033059
train,104,ISIC_0028542
train,105,ISIC_0033964
train,106,ISIC_0032016
train,107,ISIC_0027779
train,108,ISIC_0025409
train,109,ISIC_0026799
train,110,ISIC_0027815
train,111,ISIC_0025883
train,112,ISIC_0028794
train,113,ISIC_0026837
train,114,ISIC_0026963
train,115,ISIC_0029401
train,116,ISIC_0030488
train,117,ISIC_0025124
train,118,ISIC_0032499
train,119,ISIC_0025073
train,120,ISIC_0031185
train,121,ISIC_0026441
train,122,ISIC_0026581
train,123,ISIC_0027262
train,124,ISIC_0032955
train,125,ISIC_0032736
train,126,ISIC_0030577
train,127,ISIC_0026707
train,128,ISIC_0032126
train,129,ISIC_0024544
train,130,ISIC_0025771
train,131,ISIC_0026860
train,132,ISIC_0033114
train,133,ISIC_0031111
train,134,ISIC_0031577
train,135,ISIC_0026636
train,136,ISIC_0033053
train,137,ISIC_0029365
train,138,ISIC_0032654
train,139,ISIC_0028865
train,140,ISIC_0024601
train,141,ISIC_0028793
train,142,ISIC_0029448
train,143,ISIC_0025161
train,144,ISIC_0027950
train,145,ISIC_0025854
train,146,ISIC_0025863
train,147,ISIC_0033801
train,148,ISIC_0028305
train,149,ISIC_0032020
train,150,ISIC_0032878
train,151,ISIC_0031654
train,152,ISIC_0032052
train,153,ISIC_0028707
train,154,ISIC_0034055
train,155,ISIC_0027121
train,156,ISIC_0027605
train,157,ISIC_0032962
train,158,ISIC_0032202
train,159,ISIC_0028925
train,160,ISIC_0032754
train,161,ISIC_0027033
train,162,ISIC_0029278
train,163,ISIC_0026196
train,164,ISIC_0029302
train,165,ISIC_0026343
train,166,ISIC_0029630
train,167,ISIC_0026639
train,168,ISIC_0025483
train,169,ISIC_0033292
train,170,ISIC_0029582
train,171,ISIC_0033159
train,172,ISIC_0033098
train,173,ISIC_0033241
train,174,ISIC_0027881
train,175,ISIC_0032152
train,176,ISIC_0026477
train,177,ISIC_0026852
train,178,ISIC_0025887
train,179,ISIC_0029792
train,180,ISIC_0032404
train,181,ISIC_0029389
train,182,ISIC_0033476
train,183,ISIC_0032402
train,184,ISIC_0033547
train,185,ISIC_0034092
train,186,ISIC_0029931
train,187,ISIC_0028782
train,188,ISIC_0024378
train,189,ISIC_0033522
train,190,ISIC_0025366
train,191,ISIC_0034306
train,192,ISIC_0026303
train,193,ISIC_0027376
train,194,ISIC_0033131
train,195,ISIC_0026718
train,196,ISIC_0028728
train,197,ISIC_0033009
train,198,ISIC_0033289
train,199,ISIC_0026206
train,200,ISIC_0025095
train,201,ISIC_0025695
train,202,ISIC_0030100
train,203,ISIC_0033998
train,204,ISIC_0031375
train,205,ISIC_0031615
train,206,ISIC_0027523
train,207,ISIC_0028323
train,208,ISIC_0033457
train,209,ISIC_0029391
train,210,ISIC_0032652
train,211,ISIC_0034286
