similarity,from_img,to_img
0.985353,ISIC_0033481.jpg,ISIC_0033421.jpg
0.983139,ISIC_0033556.jpg,ISIC_0032634.jpg
0.976302,ISIC_0029152.jpg,ISIC_0033173.jpg
0.975478,ISIC_0029036.jpg,ISIC_0027027.jpg
0.97255,ISIC_0027820.jpg,ISIC_0028209.jpg
0.966314,ISIC_0027689.jpg,ISIC_0032647.jpg
0.966134,ISIC_0030906.jpg,ISIC_0024879.jpg
0.965987,ISIC_0033391.jpg,ISIC_0034186.jpg
0.965564,ISIC_0025226.jpg,ISIC_0030074.jpg
0.964389,ISIC_0026087.jpg,ISIC_0025664.jpg
0.962573,ISIC_0024736.jpg,ISIC_0029748.jpg
0.962374,ISIC_0024770.jpg,ISIC_0027811.jpg
0.956896,ISIC_0027162.jpg,ISIC_0029061.jpg
0.956433,ISIC_0024602.jpg,ISIC_0032283.jpg
0.955529,ISIC_0029625.jpg,ISIC_0024629.jpg
0.954566,ISIC_0030000.jpg,ISIC_0031392.jpg
0.95412,ISIC_0024437.jpg,ISIC_0031299.jpg
0.951739,ISIC_0033374.jpg,ISIC_0033417.jpg
