Name,Tags,Server end time,File name,Duration,User Name,best_val_loss,train_loss,val_acc,Validation Loss,n_epochs,train_acc,best_val_acc,holdout_set,data_list_file,overall_test_acc,FST_1_test_acc,FST_2_test_acc,FST_3_test_acc,FST_4_test_acc,FST_5_test_acc,FST_6_test_acc,dev_mode,seed,optimizer,base_lr
200_Adam_0.0001_br_seed_8889,,1711307375487,hparamsearch_train.py,2209,kabhishe,5.637666085705818,1.838165802285768,0.06685633212327957,5.9651670876471785,200,0.49518680572509766,0.07965860515832901,br,./SimThresh_T_A2_T_0.99_0.70_FC_T_KeepOne_Out_T_OutThresh_None_0FST_F.csv,0.16450939457202504,0.19607843137254902,0.16428571428571428,0.1492776886035313,0.16417910447761194,0.18652849740932642,0.1532258064516129,full,8889,Adam,0.0001
200_Adam_0.0001_br_seed_8888,,1711305160540,hparamsearch_train.py,2210,kabhishe,4.871172036080068,1.8612768914186462,0.054054051637649536,5.964092019950682,200,0.4870288670063019,0.07396870851516724,br,./SimThresh_T_A2_T_0.99_0.70_FC_T_KeepOne_Out_T_OutThresh_None_0FST_F.csv,0.15407098121085594,0.21568627450980393,0.1880952380952381,0.12520064205457465,0.14626865671641792,0.17357512953367876,0.12903225806451613,full,8888,Adam,0.0001
200_Adam_0.0001_br_seed_8887,,1711302944490,hparamsearch_train.py,2210,kabhishe,5.573016003897655,1.869511614734303,0.06827880442142487,6.020786484817353,200,0.4853972792625427,0.07823613286018372,br,./SimThresh_T_A2_T_0.99_0.70_FC_T_KeepOne_Out_T_OutThresh_None_0FST_F.csv,0.17286012526096034,0.23529411764705882,0.19047619047619047,0.1508828250401284,0.15223880597014924,0.20984455958549222,0.18548387096774194,full,8887,Adam,0.0001
200_Adam_0.0001_dermaamin_seed_8889,,1711300730367,hparamsearch_train.py,1153,kabhishe,7.433015840703791,0.7235110478017522,0.00909090880304575,10.239555965770375,200,0.7779310345649719,0.013636363670229912,dermaamin,./SimThresh_T_A2_T_0.99_0.70_FC_T_KeepOne_Out_T_OutThresh_None_0FST_F.csv,0.04918032786885246,0.047418967587034816,0.044379925342181666,0.04753820033955857,0.05815423514538559,0.06091370558375635,0.06,full,8889,Adam,0.0001
200_Adam_0.0001_dermaamin_seed_8888,,1711299572705,hparamsearch_train.py,1159,kabhishe,7.157193417982621,0.7451637877541026,0.004545454401522875,10.169821825894443,200,0.7604597806930542,0.013636363670229912,dermaamin,./SimThresh_T_A2_T_0.99_0.70_FC_T_KeepOne_Out_T_OutThresh_None_0FST_F.csv,0.044642857142857144,0.045018007202881155,0.03608461219411033,0.04753820033955857,0.05562579013906448,0.05583756345177665,0.06,full,8888,Adam,0.0001
200_Adam_0.0001_dermaamin_seed_8887,,1711298408928,hparamsearch_train.py,1154,kabhishe,6.15650202144276,0.7729495559341606,0.004545454401522875,10.254579266634854,200,0.7554023265838623,0.013636363670229912,dermaamin,./SimThresh_T_A2_T_0.99_0.70_FC_T_KeepOne_Out_T_OutThresh_None_0FST_F.csv,0.041276346604215454,0.046218487394957986,0.03484031522189963,0.03904923599320883,0.045512010113780026,0.04314720812182741,0.065,full,8887,Adam,0.0001
200_Adam_0.0001_a56_seed_8889,,1711297250348,hparamsearch_train.py,884,kabhishe,3.3692184198098105,0.4203761320063137,0.30327868461608887,3.6685663598482727,200,0.8898395895957947,0.35245898365974426,a56,./SimThresh_T_A2_T_0.99_0.70_FC_T_KeepOne_Out_T_OutThresh_None_0FST_F.csv,0.12212081703607128,0.08192457737321196,0.0960094824180166,0.13504823151125403,0.20641125879593433,,,full,8889,Adam,0.0001
200_Adam_0.0001_a56_seed_8888,,1711296362047,hparamsearch_train.py,867,kabhishe,3.234062749831403,0.42932753945416946,0.30327868461608887,3.6929799611451197,200,0.8770053386688232,0.3360655605792999,a56,./SimThresh_T_A2_T_0.99_0.70_FC_T_KeepOne_Out_T_OutThresh_None_0FST_F.csv,0.1167608286252354,0.07347204161248375,0.09640458316870802,0.12475884244372991,0.19937451133698203,,,full,8888,Adam,0.0001
200_Adam_0.0001_a56_seed_8887,,1711295490136,hparamsearch_train.py,872,kabhishe,3.4043148384719597,0.42495050991282746,0.30327868461608887,3.6129213043900785,200,0.8898395895957947,0.3196721076965332,a56,./SimThresh_T_A2_T_0.99_0.70_FC_T_KeepOne_Out_T_OutThresh_None_0FST_F.csv,0.12327973344922498,0.0799739921976593,0.10193599367838799,0.1369774919614148,0.20093823299452698,,,full,8887,Adam,0.0001
200_Adam_0.0001_a34_seed_8889,,1711294613777,hparamsearch_train.py,1509,kabhishe,3.460739594871865,1.4201299453127212,0.2705570161342621,3.521328613043464,200,0.6132246255874634,0.28116708993911743,a34,./SimThresh_T_A2_T_0.99_0.70_FC_T_KeepOne_Out_T_OutThresh_None_0FST_F.csv,0.17023186237845925,0.15047169811320754,0.16059701492537312,,,0.2523364485981308,0.181058495821727,full,8889,Adam,0.0001
